unit,na_item,sector,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
PC_GDP,D62PAY,S1312,LU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,LV	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,MT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,NL	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,NO	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,PL	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,PT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,RO	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,SE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,SI	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,SK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,UK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1313,AT	0.7 	0.7 	0.7 	0.6 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 
PC_GDP,D62PAY,S1313,BE	0.6 	0.5 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 	0.6 	0.6 
PC_GDP,D62PAY,S1313,BG	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D62PAY,S1313,CH	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.3 	0.3 	0.2 	0.2 
PC_GDP,D62PAY,S1313,CY	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D62PAY,S1313,CZ	0.4 	0.4 	0.4 	0.5 	0.6 	0.6 	0.7 	0.6 	0.1 	0.1 	0.1 	0.1 
PC_GDP,D62PAY,S1313,DE	0.9 	1.0 	1.0 	1.0 	1.0 	1.1 	1.1 	1.0 	1.0 	1.0 	1.0 	1.1 
PC_GDP,D62PAY,S1313,DK	10.6 	10.5 	10.3 	10.3 	10.3 	11.4 	11.5 	11.8 	11.9 	12.1 	12.1 	12.1 
PC_GDP,D62PAY,S1313,EA18	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 
PC_GDP,D62PAY,S1313,EA19	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 
PC_GDP,D62PAY,S1313,EE	0.3 	0.3 	0.3 	0.2 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 
PC_GDP,D62PAY,S1313,EL	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.3 	0.4 	0.4 	0.4 	0.4 	0.4 
PC_GDP,D62PAY,S1313,ES	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D62PAY,S1313,EU27	0.9 	0.9 	0.9 	0.9 	0.9 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.1 
PC_GDP,D62PAY,S1313,EU28	0.9 	0.9 	0.9 	0.9 	0.9 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.1 
PC_GDP,D62PAY,S1313,FI	0.6 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 
PC_GDP,D62PAY,S1313,FR	0.5 	0.6 	0.5 	0.6 	0.5 	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 	0.7 
PC_GDP,D62PAY,S1313,HR	0.6 	0.7 	0.6 	0.6 	0.6 	0.7 	0.6 	0.7 	0.7 	0.7 	0.8 	0.7 
PC_GDP,D62PAY,S1313,HU	0.6 	0.6 	0.5 	0.5 	0.5 	0.6 	0.6 	0.6 	0.5 	0.4 	0.4 	0.2 
PC_GDP,D62PAY,S1313,IE	1.4 	0.3 	0.4 	0.4 	0.4 	0.6 	0.5 	0.4 	0.4 	0.4 	0.2 	0.1 
PC_GDP,D62PAY,S1313,IS	0.6 	0.5 	0.4 	0.4 	0.4 	0.6 	0.6 	0.7 	0.7 	0.7 	0.7 	0.6 
PC_GDP,D62PAY,S1313,IT	0.1 	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 
PC_GDP,D62PAY,S1313,LT	0.8 	0.6 	0.6 	0.2 	0.2 	0.5 	0.7 	0.6 	0.7 	0.6 	0.4 	0.2 
PC_GDP,D62PAY,S1313,LU	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D62PAY,S1313,LV	0.1 	0.2 	0.2 	0.2 	0.3 	0.3 	0.6 	0.5 	0.3 	0.2 	0.2 	0.2 
PC_GDP,D62PAY,S1313,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D62PAY,S1313,NL	1.3 	1.3 	1.1 	1.0 	0.9 	1.0 	1.0 	1.0 	1.0 	1.1 	1.1 	1.2 
PC_GDP,D62PAY,S1313,NO	0.5 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 
PC_GDP,D62PAY,S1313,PL	0.6 	0.9 	0.9 	0.8 	0.8 	0.7 	0.9 	0.8 	0.8 	0.7 	0.7 	0.7 
PC_GDP,D62PAY,S1313,PT	0.2 	0.1 	0.4 	0.4 	0.4 	0.5 	0.4 	0.4 	0.4 	0.5 	0.4 	0.3 
PC_GDP,D62PAY,S1313,RO	0.4 	0.4 	0.3 	0.6 	0.6 	0.6 	0.6 	0.4 	0.4 	0.4 	0.4 	0.5 
PC_GDP,D62PAY,S1313,SE	0.7 	0.7 	0.6 	0.6 	0.7 	0.8 	0.8 	0.8 	0.8 	0.8 	0.7 	0.7 
PC_GDP,D62PAY,S1313,SI	0.4 	0.4 	0.4 	0.4 	0.5 	0.4 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 
PC_GDP,D62PAY,S1313,SK	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
PC_GDP,D62PAY,S1313,UK	1.3 	1.3 	1.3 	1.3 	1.4 	1.7 	1.7 	1.8 	1.8 	1.8 	1.8 	1.8 
PC_GDP,D62PAY,S1314,AT	10.9 	10.8 	10.7 	10.5 	10.7 	11.5 	11.6 	11.4 	11.7 	12.0 	12.1 	12.0 
PC_GDP,D62PAY,S1314,BE	11.3 	11.2 	11.0 	10.7 	11.1 	12.2 	12.0 	12.0 	12.4 	12.9 	12.7 	11.3 
PC_GDP,D62PAY,S1314,BG	9.5 	9.0 	8.8 	8.2 	8.7 	10.3 	10.8 	10.1 	10.1 	10.8 	11.1 	10.9 
PC_GDP,D62PAY,S1314,CH	9.0 	8.9 	8.3 	8.0 	7.7 	8.6 	8.5 	8.3 	8.4 	8.6 	8.6 	8.7 
PC_GDP,D62PAY,S1314,CY	5.7 	6.1 	5.9 	5.2 	5.3 	6.0 	6.4 	6.7 	7.5 	8.5 	8.8 	8.5 
PC_GDP,D62PAY,S1314,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D62PAY,S1314,DE	13.1 	12.7 	11.9 	11.2 	11.0 	12.0 	11.5 	10.9 	10.8 	10.8 	10.7 	10.7 
PC_GDP,D62PAY,S1314,DK	3.2 	2.8 	2.2 	1.9 	1.7 	2.2 	2.4 	2.3 	2.2 	2.0 	1.8 	1.7 
PC_GDP,D62PAY,S1314,EA18	12.4 	12.3 	12.0 	11.7 	11.9 	13.2 	13.2 	13.0 	13.4 	13.5 	13.5 	13.2 
PC_GDP,D62PAY,S1314,EA19	12.4 	12.3 	12.0 	11.7 	11.9 	13.2 	13.2 	13.0 	13.3 	13.5 	13.5 	13.2 
PC_GDP,D62PAY,S1314,EE	0.8 	0.8 	0.8 	0.8 	1.1 	2.0 	1.1 	0.8 	0.8 	0.8 	0.8 	0.9 
PC_GDP,D62PAY,S1314,EL	10.2 	11.0 	11.3 	11.7 	12.9 	13.9 	14.2 	15.5 	16.1 	14.8 	14.9 	15.2 
PC_GDP,D62PAY,S1314,ES	10.2 	10.1 	9.9 	10.0 	10.7 	12.6 	13.2 	13.5 	14.4 	14.8 	14.5 	13.9 
PC_GDP,D62PAY,S1314,EU27	9.8 	9.6 	9.3 	9.1 	9.5 	10.7 	10.6 	10.5 	10.6 	10.8 	10.6 	10.2 
PC_GDP,D62PAY,S1314,EU28	9.8 	9.6 	9.4 	9.1 	9.5 	10.7 	10.6 	10.5 	10.6 	10.8 	10.6 	10.2 
PC_GDP,D62PAY,S1314,FI	13.3 	13.2 	12.9 	12.2 	12.3 	14.6 	14.8 	14.7 	15.4 	16.2 	16.9 	17.2 
PC_GDP,D62PAY,S1314,FR	13.7 	13.8 	13.6 	13.4 	13.6 	14.9 	15.0 	15.0 	15.3 	15.6 	15.7 	15.7 
PC_GDP,D62PAY,S1314,HR	11.9 	10.9 	11.5 	10.9 	10.8 	11.9 	11.8 	11.8 	12.3 	12.2 	12.6 	12.7 
PC_GDP,D62PAY,S1314,HU	10.0 	10.4 	10.6 	11.1 	11.6 	11.8 	11.5 	11.5 	11.1 	11.2 	10.7 	10.4 
PC_GDP,D62PAY,S1314,IE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1314,IS	4.9 	4.5 	4.1 	4.1 	4.3 	5.8 	5.4 	5.8 	5.6 	5.3 	5.3 	5.0 
PC_GDP,D62PAY,S1314,IT	15.8 	15.9 	15.9 	16.0 	16.6 	18.0 	18.2 	18.2 	18.9 	19.5 	19.3 	19.2 
PC_GDP,D62PAY,S1314,LT	6.9 	6.8 	6.7 	7.2 	8.6 	11.8 	10.1 	8.7 	8.5 	8.0 	7.6 	7.8 
PC_GDP,D62PAY,S1314,LU	12.6 	12.5 	11.7 	11.1 	12.1 	13.7 	12.9 	12.5 	12.9 	12.8 	12.6 	12.5 
PC_GDP,D62PAY,S1314,LV	7.4 	6.9 	6.6 	5.8 	7.0 	11.5 	11.3 	9.6 	9.0 	9.1 	8.9 	9.0 
PC_GDP,D62PAY,S1314,MT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1314,NL	7.7 	7.4 	7.0 	6.6 	6.5 	7.2 	7.4 	7.4 	7.7 	8.0 	8.1 	8.1 
PC_GDP,D62PAY,S1314,NO	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1314,PL	13.6 	12.7 	12.6 	11.4 	11.6 	12.3 	12.3 	11.7 	11.8 	12.3 	12.2 	12.2 
PC_GDP,D62PAY,S1314,PT	8.8 	9.1 	9.2 	9.1 	9.4 	10.5 	10.7 	10.9 	11.9 	12.2 	11.7 	11.0 
PC_GDP,D62PAY,S1314,RO	6.8 	6.3 	5.6 	5.7 	6.6 	8.3 	8.5 	8.8 	8.4 	8.1 	8.0 	7.9 
PC_GDP,D62PAY,S1314,SE	5.8 	5.8 	5.7 	5.6 	5.9 	6.6 	6.3 	6.0 	6.4 	6.8 	6.5 	6.4 
PC_GDP,D62PAY,S1314,SI	12.0 	11.9 	11.7 	11.1 	11.3 	12.3 	12.7 	12.8 	13.0 	13.3 	12.8 	12.5 
PC_GDP,D62PAY,S1314,SK	7.9 	7.5 	7.4 	7.1 	7.1 	8.7 	8.6 	8.5 	8.7 	8.8 	9.0 	8.9 
PC_GDP,D62PAY,S1314,UK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
